symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
F,2018-03-08,10.324400,10.392500,False,10.197900,10.363300,reg,26947958
F,2018-03-09,10.441200,10.441200,False,10.285500,10.343900,reg,26684375
F,2018-03-12,10.519000,10.557900,False,10.392500,10.402200,reg,33800918
F,2018-03-13,10.489800,10.684400,False,10.441200,10.548200,reg,44456812
F,2018-03-14,10.723400,11.132000,False,10.713600,10.947200,reg,91985319
F,2018-03-15,10.772000,10.947200,False,10.655200,10.752500,reg,47645277
F,2018-03-16,10.849900,10.918000,False,10.762300,10.820700,reg,80684224
F,2018-03-19,10.713600,10.869300,False,10.577400,10.849900,reg,63122538
F,2018-03-20,10.694200,10.830400,False,10.674700,10.752500,reg,45612813
F,2018-03-21,10.801200,10.883900,False,10.635800,10.703900,reg,38550957
F,2018-03-22,10.460600,10.762300,False,10.441200,10.703900,reg,51280905
F,2018-03-23,10.275700,10.557900,False,10.227100,10.499500,reg,39950867
F,2018-03-26,10.538500,10.577400,False,10.392500,10.450900,reg,52325512
F,2018-03-27,10.538500,10.626000,False,10.431400,10.557900,reg,40677320
F,2018-03-28,10.567700,10.655200,False,10.441200,10.538500,reg,42263662
F,2018-03-29,10.781700,10.830400,False,10.621200,10.635800,reg,39863962
F,2018-04-02,10.567700,10.791500,False,10.412000,10.762300,reg,43598094
F,2018-04-03,10.849900,10.879000,False,10.606600,10.713600,reg,42523917
F,2018-04-04,11.025000,11.054200,False,10.509300,10.577400,reg,44834639
F,2018-04-05,11.044500,11.073700,False,10.927700,11.034700,reg,28755606
F,2018-04-06,10.879000,11.044500,False,10.772000,10.976400,reg,31920686
F,2018-04-09,10.947200,11.073700,False,10.898500,10.947200,reg,36462658
F,2018-04-10,11.141800,11.239100,False,11.102900,11.132000,reg,44005015
F,2018-04-11,11.122300,11.180700,False,10.995800,11.073700,reg,32979038
F,2018-04-12,11.005500,11.229400,False,10.947200,11.190400,reg,47133732
F,2018-04-13,10.976400,11.083400,False,10.927700,11.044500,reg,34598783
F,2018-04-16,11.073700,11.141800,False,10.966600,11.054200,reg,32803268
F,2018-04-17,11.073700,11.141800,False,10.995800,11.122300,reg,30906803
F,2018-04-18,11.025000,11.171000,False,10.995800,11.073700,reg,46226082
F,2018-04-19,10.808100,11.093400,False,10.699600,11.025000,reg,49154173
F,2018-04-20,10.670000,10.877100,False,10.630600,10.857400,reg,44930027
F,2018-04-23,10.887000,10.887000,False,10.679900,10.689700,reg,31936522
F,2018-04-24,10.808100,11.015100,False,10.778500,10.896800,reg,39624986
F,2018-04-25,10.956000,11.005300,False,10.719300,10.808100,reg,40356076
F,2018-04-26,11.271500,11.370200,False,11.133500,11.261700,reg,80676755
F,2018-04-27,11.330700,11.399700,False,11.222200,11.242000,reg,33375943
F,2018-04-30,11.084200,11.562500,False,11.064500,11.370200,reg,66090895
F,2018-05-01,11.103900,11.192700,False,10.946100,11.094000,reg,61430446
F,2018-05-02,11.054600,11.108800,False,10.965800,11.103900,reg,41899467
F,2018-05-03,11.044700,11.054600,False,10.817900,11.015100,reg,38907404
F,2018-05-04,11.202500,11.251800,False,10.936300,11.005300,reg,32043468
F,2018-05-07,11.182800,11.281400,False,11.153200,11.202500,reg,27510279
F,2018-05-08,11.113800,11.212400,False,11.079200,11.163100,reg,25754109
F,2018-05-09,10.906700,11.123600,False,10.867200,11.054600,reg,43731958
F,2018-05-10,11.054600,11.094000,False,10.867200,10.887000,reg,32023835
F,2018-05-11,11.034900,11.089100,False,11.005300,11.064500,reg,19837675
F,2018-05-14,11.025000,11.133500,False,11.015100,11.074300,reg,27903121
F,2018-05-15,11.064500,11.094000,False,10.906700,10.946100,reg,26950114
F,2018-05-16,11.242000,11.242000,False,11.044700,11.054600,reg,28976692
F,2018-05-17,11.301100,11.320900,False,11.222200,11.242000,reg,20741087
F,2018-05-18,11.172900,11.311000,False,11.143300,11.281400,reg,23893731
F,2018-05-21,11.350400,11.389900,False,11.232100,11.261700,reg,31011916
F,2018-05-22,11.360300,11.473700,False,11.350400,11.419500,reg,22360885
F,2018-05-23,11.281400,11.389900,False,11.172900,11.340600,reg,23595004
F,2018-05-24,11.458900,11.488500,False,11.281400,11.291300,reg,34876334
F,2018-05-25,11.350400,11.444100,False,11.311000,11.399700,reg,19337470
F,2018-05-29,11.281400,11.458900,False,11.202500,11.439200,reg,31324274
F,2018-05-30,11.389900,11.449000,False,11.311000,11.370200,reg,25554593
F,2018-05-31,11.389900,11.572300,False,11.202500,11.488500,reg,61563249
F,2018-06-01,11.547700,11.606800,False,11.449000,11.508200,reg,35406189
F,2018-06-04,11.577200,11.621600,False,11.527900,11.577200,reg,25141346
F,2018-06-05,11.666000,11.703000,False,11.518100,11.577200,reg,31036704
F,2018-06-06,11.804100,11.833600,False,11.656100,11.705400,reg,31110458
F,2018-06-07,11.863200,11.981600,False,11.794200,11.804100,reg,47314073
F,2018-06-08,11.932300,11.952000,False,11.833600,11.873100,reg,28371881
F,2018-06-11,11.863200,11.981600,False,11.853400,11.932300,reg,30398078
